ID,PID,parent_id,,file,ancestors_ms,fgs_createdDate_mt,fgs_state_ms,fgs_state_mt,utk_mods_archColl_archID_mt,utk_mods_archColl_archID_ms,utk_mods_abstract_ms,utk_mods_abstract_mt,fgs_ownerId_t,fgs_ownerId_s,utk_mods_accessCondition_use_and_reproduction_ms,utk_mods_accessCondition_use_and_reproduction_mt,utk_mods_geo_facet_mt,utk_mods_geo_facet_ms,fgs_createdDate_dt,parent_id,RELS_EXT_isConstituentOf_uri_s,utk_mods_originInfo_dateCreated_edtf_date_mt,utk_mods_typeOfResource_ms,utk_mods_typeOfResource_mt,fgs_state_t,fgs_state_s,mimetype,media_use,type,model,RELS_EXT_hasModel_uri_s,fgs_createdDate_mdt,utk_mods_geo_ms,utk_mods_geo_mt,utk_mods_name_role_mt,utk_mods_name_role_ms,fgs_state_ss,utk_mods_subject_topic_facet_mt,utk_mods_subject_topic_facet_ms,utk_mods_relatedItem_titleInfo_title_ms,utk_mods_relatedItem_titleInfo_title_mt,utk_mods_titleInfo_title_mt,utk_mods_titleInfo_title_ms,fgs_lastModifiedDate_mdt,title,fgs_label_mlt,utk_mods_originInfo_dateCreated_edtf_point_end_dt,file,collection,utk_mods_originInfo_dateCreated_edtf_point_start_mt,fgs_ownerId_mlt,utk_mods_originInfo_dateCreated_edtf_point_start_mdt,fgs_lastModifiedDate_mt,utk_mods_originInfo_dateCreated_edtf_point_start_dt,fgs_label_ms,fgs_label_mt,sequence_id,utk_mods_location_physicalLocation_ms,utk_mods_location_physicalLocation_mt,utk_mods_originInfo_dateCreated_edtf_point_end_mdt,fgs_label_ss,utk_mods_recordInfo_recordContentSource_mt,utk_mods_recordInfo_recordContentSource_ms,fgs_lastModifiedDate_dt,utk_mods_identifier_misc_ms,utk_mods_identifier_misc_mt,fgs_ownerId_mt,fgs_ownerId_ms,fgs_ownerId_ss,utk_mods_originInfo_dateCreated_edtf_date_mdt,utk_mods_originInfo_date_mt,utk_mods_originInfo_dateCreated_edtf_point_end_mt,utk_mods_originInfo_date_ms,utk_mods_subject_topic_ms,utk_mods_subject_topic_mt,utk_mods_relatedItem_host_Project_titleInfo_title_ms,utk_mods_relatedItem_host_Project_titleInfo_title_mt,fgs_label_t,fgs_label_s,utk_mods_physicalDescription_form_authority_ms,utk_mods_physicalDescription_form_authority_mt,utk_mods_originInfo_dateCreated_edtf_date_dt,utk_mods_subject_topic_facets_ms,utk_mods_subject_topic_facets_mt,fgs_state_mlt,copyright,model,media_use,display
124,druid:124,123,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:124/datastream/OBJ/knoxgardens_124.tiff,druid:123,druid:123,2017-11-11T17:28:36.127Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:36.127Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:36.127Z,,,,,Active,,,,,Druid: a humanities magazine. : page 3,Druid: a humanities magazine. : page 3,2019-01-14T21:28:59.589Z,,"Druid: a humanities magazine, May 1969:  page 3",,,,,comyn7,,2019-01-14T21:28:59.589Z,,"Druid: a humanities magazine, May 1969:  page 3","Druid: a humanities magazine, May 1969:  page 3",3,,,,"Druid: a humanities magazine, May 1969:  page 3",,,2019-01-14T21:28:59.589Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, May 1969:  page 3","Druid: a humanities magazine, May 1969:  page 3",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
105,druid:105,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:105/datastream/OBJ/knoxgardens_105.tiff,druid:66,druid:66,2017-11-11T17:28:24.625Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:24.625Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:24.625Z,,,,,Active,,,,,Druid: a humanities magazine. : page 32,Druid: a humanities magazine. : page 32,2019-01-14T21:28:52.871Z,,"Druid: a humanities magazine, spring 1970:  page 32",,,,,comyn7,,2019-01-14T21:28:52.871Z,,"Druid: a humanities magazine, spring 1970:  page 32","Druid: a humanities magazine, spring 1970:  page 32",32,,,,"Druid: a humanities magazine, spring 1970:  page 32",,,2019-01-14T21:28:52.871Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 32","Druid: a humanities magazine, spring 1970:  page 32",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
106,druid:106,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:106/datastream/OBJ/knoxgardens_106.tiff,druid:66,druid:66,2017-11-11T17:28:25.032Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:25.032Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:25.032Z,,,,,Active,,,,,Druid: a humanities magazine. : page 9,Druid: a humanities magazine. : page 9,2019-01-14T21:28:53.145Z,,"Druid: a humanities magazine, spring 1970:  page 9",,,,,comyn7,,2019-01-14T21:28:53.145Z,,"Druid: a humanities magazine, spring 1970:  page 9","Druid: a humanities magazine, spring 1970:  page 9",9,,,,"Druid: a humanities magazine, spring 1970:  page 9",,,2019-01-14T21:28:53.145Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 9","Druid: a humanities magazine, spring 1970:  page 9",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
107,druid:107,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:107/datastream/OBJ/knoxgardens_107.tiff,druid:66,druid:66,2017-11-11T17:28:25.583Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:25.583Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:25.583Z,,,,,Active,,,,,Druid: a humanities magazine. : page 21,Druid: a humanities magazine. : page 21,2019-01-14T21:28:53.405Z,,"Druid: a humanities magazine, spring 1970:  page 21",,,,,comyn7,,2019-01-14T21:28:53.405Z,,"Druid: a humanities magazine, spring 1970:  page 21","Druid: a humanities magazine, spring 1970:  page 21",21,,,,"Druid: a humanities magazine, spring 1970:  page 21",,,2019-01-14T21:28:53.405Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 21","Druid: a humanities magazine, spring 1970:  page 21",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
11,druid:11,1,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:11/datastream/OBJ/knoxgardens_11.tiff,druid:1,druid:1,2017-11-11T17:28:27.052Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:27.052Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:27.052Z,,,,,Active,,,,,Druid: a humanities magazine. : page 55,Druid: a humanities magazine. : page 55,2019-01-14T21:28:54.335Z,,"Druid: a humanities magazine, winter 1970:  page 55",,,,,comyn7,,2019-01-14T21:28:54.335Z,,"Druid: a humanities magazine, winter 1970:  page 55","Druid: a humanities magazine, winter 1970:  page 55",55,,,,"Druid: a humanities magazine, winter 1970:  page 55",,,2019-01-14T21:28:54.335Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, winter 1970:  page 55","Druid: a humanities magazine, winter 1970:  page 55",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
10,druid:10,1,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:10/datastream/OBJ/knoxgardens_10.tiff,druid:1,druid:1,2017-11-11T17:28:21.453Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:21.453Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:21.453Z,,,,,Active,,,,,Druid: a humanities magazine. : page 56,Druid: a humanities magazine. : page 56,2019-01-14T21:28:50.517Z,,"Druid: a humanities magazine, winter 1970:  page 56",,,,,comyn7,,2019-01-14T21:28:50.517Z,,"Druid: a humanities magazine, winter 1970:  page 56","Druid: a humanities magazine, winter 1970:  page 56",56,,,,"Druid: a humanities magazine, winter 1970:  page 56",,,2019-01-14T21:28:50.517Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, winter 1970:  page 56","Druid: a humanities magazine, winter 1970:  page 56",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
100,druid:100,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:100/datastream/OBJ/knoxgardens_100.tiff,druid:66,druid:66,2017-11-11T17:28:22.143Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:22.143Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:22.143Z,,,,,Active,,,,,Druid: a humanities magazine. : page 12,Druid: a humanities magazine. : page 12,2019-01-14T21:28:50.81Z,,"Druid: a humanities magazine, spring 1970:  page 12",,,,,comyn7,,2019-01-14T21:28:50.810Z,,"Druid: a humanities magazine, spring 1970:  page 12","Druid: a humanities magazine, spring 1970:  page 12",12,,,,"Druid: a humanities magazine, spring 1970:  page 12",,,2019-01-14T21:28:50.81Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 12","Druid: a humanities magazine, spring 1970:  page 12",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
101,druid:101,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:101/datastream/OBJ/knoxgardens_101.tiff,druid:66,druid:66,2017-11-11T17:28:22.610Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:22.61Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:22.61Z,,,,,Active,,,,,Druid: a humanities magazine. : page 34,Druid: a humanities magazine. : page 34,2019-01-14T21:28:51.218Z,,"Druid: a humanities magazine, spring 1970:  page 34",,,,,comyn7,,2019-01-14T21:28:51.218Z,,"Druid: a humanities magazine, spring 1970:  page 34","Druid: a humanities magazine, spring 1970:  page 34",34,,,,"Druid: a humanities magazine, spring 1970:  page 34",,,2019-01-14T21:28:51.218Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 34","Druid: a humanities magazine, spring 1970:  page 34",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
102,druid:102,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:102/datastream/OBJ/knoxgardens_102.tiff,druid:66,druid:66,2017-11-11T17:28:23.026Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:23.026Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:23.026Z,,,,,Active,,,,,Druid: a humanities magazine. : page 11,Druid: a humanities magazine. : page 11,2019-01-14T21:28:51.536Z,,"Druid: a humanities magazine, spring 1970:  page 11",,,,,comyn7,,2019-01-14T21:28:51.536Z,,"Druid: a humanities magazine, spring 1970:  page 11","Druid: a humanities magazine, spring 1970:  page 11",11,,,,"Druid: a humanities magazine, spring 1970:  page 11",,,2019-01-14T21:28:51.536Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 11","Druid: a humanities magazine, spring 1970:  page 11",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
103,druid:103,66,https://digital.lib.utk.edu/collections/islandora/object/knoxgardens:103/datastream/OBJ/knoxgardens_103.tiff,druid:66,druid:66,2017-11-11T17:28:23.463Z,Active,Active,,,,,comyn7,comyn7,,,,,2017-11-11T17:28:23.463Z,,,,,,Active,Active,,,,,info:fedora/islandora:pageCModel,2017-11-11T17:28:23.463Z,,,,,Active,,,,,Druid: a humanities magazine. : page 33,Druid: a humanities magazine. : page 33,2019-01-14T21:28:51.809Z,,"Druid: a humanities magazine, spring 1970:  page 33",,,,,comyn7,,2019-01-14T21:28:51.809Z,,"Druid: a humanities magazine, spring 1970:  page 33","Druid: a humanities magazine, spring 1970:  page 33",33,,,,"Druid: a humanities magazine, spring 1970:  page 33",,,2019-01-14T21:28:51.809Z,,,comyn7,comyn7,comyn7,,,,,,,,,"Druid: a humanities magazine, spring 1970:  page 33","Druid: a humanities magazine, spring 1970:  page 33",,,,,,Active,In Copyright,Page,"Original File	",Open Seadragon
