subject,authority,subject_URI
Photography of gardens,,http://id.loc.gov/authorities/subjects/sh85101348
Nature photography,,http://id.loc.gov/authorities/subjects/sh85090290
Christmas decorations,,http://id.loc.gov/authorities/subjects/sh85025309
"Gardens, American",,http://id.loc.gov/authorities/subjects/sh85053123
Water gardens,lcsh,http://id.loc.gov/authorities/subjects/sh85145559
Gates,,http://id.loc.gov/authorities/subjects/sh85053505
Primroses,,http://id.loc.gov/authorities/subjects/sh85106708
Garden walks,,http://id.loc.gov/authorities/subjects/sh85053084
"Plants, Ornamental",,http://id.loc.gov/authorities/subjects/sh85103022
Scenic overlooks,,http://id.loc.gov/authorities/subjects/sh2008009411
Courtyards,,http://id.loc.gov/authorities/subjects/sh85033602
Arbors,,http://id.loc.gov/authorities/subjects/sh96007468
Daffodils,,http://id.loc.gov/authorities/subjects/sh85035383
Patio gardening,,http://id.loc.gov/authorities/subjects/sh85098713
Liriodendron tulipifera,lcsh,http://id.loc.gov/authorities/subjects/sh85077428
Mockingbirds,lcsh,http://id.loc.gov/authorities/subjects/sh85086407
Irises (Plants),lcsh,http://id.loc.gov/authorities/subjects/sh85068079
Passiflora,,http://id.loc.gov/authorities/subjects/sh85098513
Galax,lcsh,http://id.loc.gov/authorities/subjects/sh2006020025
Trilliums,lcsh,http://id.loc.gov/authorities/subjects/sh96008268
"Plants, Ornamental",lcsh,http://id.loc.gov/authorities/subjects/sh85103022
Mountain laurel,lcsh,http://id.loc.gov/authorities/subjects/sh85087782
Rhododendrons,lcsh,http://id.loc.gov/authorities/subjects/sh85113765
Rhododendron maximum,lcsh,http://id.loc.gov/authorities/subjects/sh2005008326
Azaleas,lcsh,http://id.loc.gov/authorities/subjects/sh85010626
Lemon balm,lcsh,http://id.loc.gov/authorities/subjects/sh00004645
Weeping willow,lcsh,http://id.loc.gov/authorities/subjects/sh96001392
Gates,lcsh,http://id.loc.gov/authorities/subjects/sh85053505
Flowering trees,lcsh,http://id.loc.gov/authorities/subjects/sh85049328
Lotus,lcsh,http://id.loc.gov/authorities/subjects/sh85078460
Dwarf lilyturf,lcsh,http://id.loc.gov/authorities/subjects/sh2002004598
Eupatorium,lcsh,http://id.loc.gov/authorities/subjects/sh88022788
Chrysanthemums,lcsh,http://id.loc.gov/authorities/subjects/sh85025424
Wreaths,lcsh,http://id.loc.gov/authorities/subjects/sh85148599
Christmas Trees,lcsh,http://id.loc.gov/authorities/subjects/sh85025322
Dogs,lcsh,http://id.loc.gov/authorities/subjects/sh85038796
Tennessee River,lcsh,http://id.loc.gov/authorities/subjects/sh85133887
Water lilies,lcsh,http://id.loc.gov/authorities/subjects/sh85145576
Garden walks,lcsh,http://id.loc.gov/authorities/subjects/sh85053084
Fountains,,http://id.loc.gov/authorities/subjects/sh85051067
State birds,lcsh,http://id.loc.gov/authorities/subjects/sh85127482
Flowers--United States,lcsh,http://id.loc.gov/authorities/subjects/sh2008120720
Great Smoky Mountains (N.C. and Tenn.),lcsh,http://id.loc.gov/authorities/subjects/sh85057008
Alluvial streams,lcsh,http://id.loc.gov/authorities/subjects/sh85003734
Dogwoods,lcsh,http://id.loc.gov/authorities/subjects/sh85038828
Driveways,lcsh,http://id.loc.gov/authorities/subjects/sh85039611
Millstones,lcsh,http://id.loc.gov/authorities/subjects/sh85085428
Patios,lcsh,http://id.loc.gov/authorities/subjects/sh85098714
Trees in winter,lcsh,http://id.loc.gov/authorities/subjects/sh85137265
Common snowdrop,lcsh,http://id.loc.gov/authorities/subjects/sh88022799
Redbud,lcsh,http://id.loc.gov/authorities/subjects/sh85112106
Daylilies,lcsh,http://id.loc.gov/authorities/subjects/sh85035974
Caesalpinia,lcsh,http://id.loc.gov/authorities/subjects/sh88022614
Asters,lcsh,http://id.loc.gov/authorities/subjects/sh85008854
Christmas decorations,lcsh,http://id.loc.gov/authorities/subjects/sh85025309
Trellises,lcsh,http://id.loc.gov/authorities/subjects/sh85137269
Scenic overlooks,lcsh,http://id.loc.gov/authorities/subjects/sh2008009411
Ferns,lcsh,http://id.loc.gov/authorities/subjects/sh85047836
Daffodils,lcsh,http://id.loc.gov/authorities/subjects/sh85035383
Hydrangeas,lcsh,http://id.loc.gov/authorities/subjects/sh85063290
Clematis,lcsh,http://id.loc.gov/authorities/subjects/sh85026933
Wisteria,lcsh,http://id.loc.gov/authorities/subjects/sh85147122
Arbors,lcsh,http://id.loc.gov/authorities/subjects/sh96007468
Knoxville (Tenn.),naf,http://id.loc.gov/authorities/names/n79109786
Great Smoky Mountains,geonames,http://sws.geonames.org/4626066
Mount Le Conte,geonames,http://sws.geonames.org/4635946
Chapman Prong,geonames,http://sws.geonames.org/4612767
